City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Ilulissat,0,GL,1595007795,52,69.22,-51.1,47.48,7.14
Hofn,75,IS,1595007795,50,64.25,-15.21,57.2,20.8
Jamestown,40,US,1595007656,60,42.1,-79.24,78.01,11.41
Ponta Delgada,75,PT,1595007218,73,37.73,-25.67,69.8,10.29
Hilo,90,US,1595007795,83,19.73,-155.09,73.4,4.7
Rikitea,100,PF,1595007796,83,-23.12,-134.97,73.31,11.48
George Town,20,MY,1595007543,94,5.41,100.34,78.8,3.36
Port Blair,98,IN,1595007199,81,11.67,92.75,80.65,8.3
Albany,87,US,1595007618,92,42.6,-73.97,75.99,1.01
Nanortalik,0,GL,1595007223,54,60.14,-45.24,49.3,13.18
Sturgeon Falls,20,CA,1595007796,61,46.36,-79.93,81.0,17.22
Busselton,84,AU,1595007796,74,-33.65,115.33,46.0,9.55
Torbay,90,CA,1595007796,100,47.67,-52.73,53.01,18.34
Ushuaia,0,AR,1595007690,92,-54.8,-68.3,30.2,1.7
Kapaa,40,US,1595007591,100,22.08,-159.32,79.0,4.7
Potam,5,MX,1595007797,36,27.6,-110.38,97.0,5.82
East London,0,ZA,1595007797,49,-33.02,27.91,63.68,8.55
Airai,23,TL,1595007797,100,-8.93,125.41,56.34,3.22
Mataura,0,NZ,1595007797,97,-46.19,168.86,28.71,2.3
Hobart,83,AU,1595007601,80,-42.88,147.33,41.0,8.05
Pevek,78,RU,1595007797,92,69.7,170.31,41.81,1.7
Bluff,33,NZ,1595007797,88,-46.6,168.33,35.87,5.5
Hermanus,0,ZA,1595007797,52,-34.42,19.23,62.31,5.7
Gushi,0,CN,1595007798,72,34.64,109.58,72.34,4.7
New Norfolk,93,AU,1595007798,91,-42.78,147.06,37.99,2.82
Poya,0,NC,1595007798,69,-21.35,165.15,60.82,1.74
Krasnyy Chikoy,48,RU,1595007798,79,50.36,108.75,45.07,2.55
Kavaratti,100,IN,1595007228,81,10.57,72.64,83.05,22.03
Constitución,100,CL,1595006981,92,-35.33,-72.42,54.9,21.99
Hithadhoo,100,MV,1595007541,76,-0.6,73.08,84.0,10.31
Ndélé,82,CF,1595007798,93,8.41,20.65,72.43,2.89
Rāvar,9,IR,1595007799,19,31.27,56.81,86.09,9.1
Butaritari,2,KI,1595007799,78,3.07,172.79,82.45,15.43
Dongsheng,36,CN,1595007799,76,39.82,109.98,62.49,5.21
Vaini,75,TO,1595007799,94,-21.2,-175.2,73.4,6.93
Cape Town,0,ZA,1595007597,39,-33.93,18.42,66.2,10.29
Lewisporte,75,CA,1595007799,34,49.25,-55.05,75.99,12.75
Zhangaözen,14,KZ,1595007204,25,43.3,52.8,88.09,10.67
Alofi,75,NU,1595007799,94,-19.06,-169.92,71.6,6.93
Bredasdorp,0,ZA,1595007734,66,-34.53,20.04,55.4,3.36
Saint-Philippe,75,RE,1595007800,72,-21.36,55.77,68.0,6.93
Punta Arenas,75,CL,1595007800,86,-53.15,-70.92,30.2,8.05
Nagato,40,JP,1595007800,88,34.38,131.2,71.6,5.82
Norman Wells,20,CA,1595007800,68,65.28,-126.83,66.2,2.24
Kuvshinovo,82,RU,1595007800,88,57.03,34.17,56.26,3.02
Māngrol,65,IN,1595007800,84,21.12,70.12,83.79,13.56
Kungurtug,78,RU,1595007800,76,50.6,97.52,47.16,1.86
Manokwari,17,ID,1595007800,74,-0.87,134.08,79.52,5.5
Deputatsky,19,RU,1595007801,89,69.3,139.9,36.52,4.07
Nouadhibou,75,MR,1595007801,83,20.93,-17.03,73.4,20.8
Arraial do Cabo,75,BR,1595007801,69,-22.97,-42.03,75.2,17.22
Blankenberge,20,BE,1595007801,53,51.31,3.13,77.0,4.7
Castro,52,BR,1595007201,58,-24.79,-50.01,71.69,5.41
Sitka,75,US,1595007244,76,57.05,-135.33,57.2,3.36
Provideniya,97,RU,1595007801,85,64.38,-173.3,52.23,1.05
Fortuna,1,US,1595007802,87,40.6,-124.16,63.0,6.93
Port Elizabeth,0,ZA,1595007802,44,-33.92,25.57,59.0,5.82
Iqaluit,90,CA,1595007802,100,63.75,-68.51,50.0,3.36
Puerto Ayora,93,EC,1595007802,65,-0.74,-90.35,77.0,6.93
Oranjemund,0,NA,1595007802,29,-28.55,16.43,65.68,4.43
Hirara,97,JP,1595007802,82,24.8,125.28,84.92,17.87
Gravelbourg,94,CA,1595007802,51,49.88,-106.55,74.53,15.28
Katsuura,90,JP,1595007218,100,35.13,140.3,69.01,4.7
Saint-Pierre,75,RE,1595007802,72,-21.34,55.48,68.0,6.93
Mehamn,100,NO,1595007238,72,71.04,27.85,59.0,4.7
Cabo San Lucas,5,MX,1595007598,48,22.89,-109.91,93.2,5.82
Grindavik,75,IS,1595007803,70,63.84,-22.43,46.4,31.09
Saint-Paul,20,RE,1595007803,82,-21.01,55.27,66.2,6.93
Carnarvon,0,AU,1595007011,82,-24.87,113.63,57.2,11.41
Berlevåg,99,NO,1595007803,72,70.86,29.09,59.0,4.7
Wewak,88,PG,1595007803,82,-3.55,143.63,78.3,5.32
Tuktoyaktuk,75,CA,1595007803,81,69.45,-133.04,48.2,10.29
Singarāyakonda,59,IN,1595007803,65,15.25,80.03,84.61,9.8
Barrow,90,US,1595007762,86,71.29,-156.79,33.8,17.22
Bagdarin,42,RU,1595007804,76,54.43,113.6,47.82,3.67
Lorengau,39,PG,1595007204,71,-2.02,147.27,82.33,6.67
Kumul,0,CN,1595007207,16,42.8,93.45,80.8,4.83
Klaksvík,18,FO,1595007023,93,62.23,-6.59,50.0,26.4
Port Alfred,0,ZA,1595007804,35,-33.59,26.89,64.69,10.54
Thinadhoo,100,MV,1595007523,75,0.53,72.93,83.98,10.04
Mahébourg,40,MU,1595007804,73,-20.41,57.7,71.6,12.75
Boa Vista,75,BR,1595007804,55,2.82,-60.67,89.6,8.05
Homer,90,US,1595007805,93,59.64,-151.55,57.99,2.13
Mareeba,59,AU,1595007805,89,-17.0,145.43,55.0,3.0
Atuona,4,PF,1595007805,76,-9.8,-139.03,79.3,15.93
Saint George,1,US,1595007672,21,37.1,-113.58,97.0,4.7
Chokurdakh,2,RU,1595007805,71,70.63,147.92,42.33,6.42
Saint Paul Harbor,90,US,1595007805,93,57.79,-152.41,55.4,4.7
Arlit,11,NE,1595007805,24,18.74,7.39,97.38,8.08
Aykhal,90,RU,1595007226,81,66.0,111.5,53.6,2.24
Burley,1,US,1595007806,41,42.54,-113.79,78.8,15.17
Miles City,1,US,1595007806,19,46.41,-105.84,91.4,18.34
Poletayevo,0,RU,1595007806,37,55.03,61.11,82.4,8.95
Ahipara,100,NZ,1595007015,91,-35.17,173.17,58.37,8.16
Olafsvik,93,IS,1595007222,83,64.89,-23.71,44.33,34.43
Korla,0,CN,1595007221,64,41.76,86.15,82.0,3.0
Cerveteri,41,IT,1595007806,51,41.99,12.09,80.6,8.05
Chapais,90,CA,1595007249,83,49.78,-74.85,69.8,10.29
Thaba-Tseka,0,LS,1595007806,49,-29.52,28.61,42.08,3.06
Tasiilaq,5,GL,1595007807,50,65.61,-37.64,53.6,5.82
Moroni,20,KM,1595007807,61,-11.7,43.26,78.8,20.8
Fairbanks,90,US,1595007003,93,64.84,-147.72,60.01,5.82
Kahului,20,US,1595007807,73,20.89,-156.47,79.0,4.59
Eureka,90,US,1595007217,93,40.8,-124.16,62.01,4.7
Saskylakh,100,RU,1595007807,86,71.92,114.08,49.41,10.02
Kargil,65,IN,1595007807,43,34.57,76.1,62.4,8.03
Khromtau,0,KZ,1595007807,28,50.25,58.43,76.98,8.99
Leningradskiy,21,RU,1595007031,87,69.38,178.42,38.16,15.08
Safi,11,MA,1595007669,74,32.3,-9.24,75.04,7.9
Breyten,0,ZA,1595007808,53,-26.3,29.99,42.01,4.83
Kavieng,89,PG,1595007808,71,-2.57,150.8,82.49,5.19
Kalmunai,90,LK,1595007808,76,7.42,81.82,83.1,3.69
Faro,0,PT,1595007642,58,37.02,-7.93,82.4,8.05
Port Hedland,0,AU,1595007808,77,-20.32,118.57,59.0,6.85
Viedma,100,AR,1595007532,61,-40.81,-63.0,57.99,5.99
Dingle,82,PH,1595006969,79,11.0,122.67,77.76,5.3
Pincher Creek,20,CA,1595007809,72,49.48,-113.95,66.0,5.82
Qaanaaq,100,GL,1595007809,63,77.48,-69.36,45.16,7.63
Leirvik,100,NO,1595007809,94,59.78,5.5,59.0,3.0
Pahrump,0,US,1595007809,15,36.21,-115.98,99.0,3.0
Qasigiannguit,0,GL,1595007809,50,68.82,-51.19,49.1,5.41
Singaraja,17,ID,1595007809,77,-8.11,115.09,78.39,6.04
San Juan,0,AR,1595007809,20,-31.54,-68.54,73.15,10.85
Killarney,75,IE,1595007810,88,52.05,-9.52,62.6,19.46
Kandrian,100,PG,1595007810,89,-6.22,149.55,77.49,11.07
Hamilton,40,US,1595007251,54,39.18,-84.53,89.01,3.36
Cururupu,16,BR,1595007810,64,-1.83,-44.87,85.42,3.65
Ilhabela,34,BR,1595007810,75,-23.78,-45.36,71.04,6.4
Zima,56,RU,1595007810,93,53.92,102.04,50.72,5.55
Bambous Virieux,40,MU,1595007810,73,-20.34,57.76,71.6,12.75
San Mateo del Mar,41,MX,1595007810,64,16.2,-95.0,87.93,24.63
Saint-Joseph,75,RE,1595007811,72,-21.37,55.62,68.0,6.93
Sibolga,76,ID,1595007811,84,1.74,98.78,75.92,4.74
Carandaí,28,BR,1595007811,46,-20.95,-43.81,73.17,3.36
Cardoso,1,BR,1595007811,28,-20.08,-49.91,86.45,6.06
Muscat,63,OM,1595007746,63,23.61,58.59,91.4,2.24
Sola,57,VU,1595007811,89,-13.88,167.55,78.87,15.32
Upernavik,3,GL,1595007811,64,72.79,-56.15,46.47,7.74
Honāvar,100,IN,1595007811,88,14.28,74.45,78.76,6.71
Pangoa,30,PE,1595007812,58,-12.12,-73.0,82.02,4.45
La Ronge,90,CA,1595007812,100,55.1,-105.28,57.2,6.93
Bengkulu,85,ID,1595007729,89,-3.8,102.27,75.94,4.68
Severo-Kuril'sk,78,RU,1595007812,90,50.68,156.12,49.82,7.63
Ginir,58,ET,1595007812,91,7.13,40.7,59.52,4.56
Mosquera,75,CO,1595007812,59,4.71,-74.23,62.6,11.41
Altay,0,CN,1595007812,36,47.87,88.12,71.06,6.49
College,75,US,1595007812,87,64.86,-147.8,59.0,3.36
Samarai,100,PG,1595007812,85,-10.62,150.67,75.43,13.49
Atambua,13,ID,1595007812,89,-9.11,124.89,69.71,5.57
Tuatapere,38,NZ,1595007007,85,-46.13,167.68,36.57,3.42
Lavrentiya,0,RU,1595007813,69,65.58,-171.0,48.42,3.27
Broome,75,US,1595007813,65,42.25,-75.83,84.0,12.75
Nikolskoye,1,RU,1595007813,43,59.7,30.79,71.6,11.18
Lagoa,45,PT,1595007813,77,39.05,-27.98,69.87,13.35
Salalah,40,OM,1595007237,83,17.02,54.09,84.2,5.82
Saint-Médard-en-Jalles,50,FR,1595007813,47,44.9,-0.72,80.6,13.87
Dudinka,90,RU,1595007239,93,69.41,86.18,48.2,11.18
Flinders,26,AU,1595007215,75,-34.58,150.86,55.99,4.0
Margate,28,GB,1595007813,47,51.38,1.39,79.0,8.05
Ponta do Sol,40,PT,1595007814,73,32.67,-17.1,73.4,6.93
Agra,71,IN,1595007660,48,27.18,78.02,95.94,7.7
Sydney,40,AU,1595007102,81,-33.87,151.21,53.6,10.29
Caravelas,77,BR,1595007251,59,-17.71,-39.25,74.84,7.92
Avarua,4,CK,1595007814,72,-21.21,-159.78,66.2,3.36
Sosnovo-Ozerskoye,55,RU,1595007814,74,52.52,111.54,45.21,7.2
Uthal,61,PK,1595007814,48,25.81,66.62,94.44,4.61
Ust-Maya,0,RU,1595007814,75,60.42,134.53,64.76,4.29
Tiksi,99,RU,1595007815,81,71.69,128.87,42.37,13.73
Colares,0,PT,1595007815,20,38.8,-9.45,95.0,8.05
Clarence Town,90,AU,1595007815,100,-32.58,151.78,53.01,10.29
Talnakh,90,RU,1595007815,93,69.49,88.4,48.2,11.18
Saint Anthony,20,US,1595006948,58,45.02,-93.22,89.01,10.29
Nome,90,US,1595007747,77,64.5,-165.41,61.0,1.9
Sungai Udang,20,MY,1595007815,88,2.27,102.14,80.6,2.24
Chimbote,55,PE,1595007815,71,-9.09,-78.58,65.64,12.44
Launceston,90,AU,1595007561,93,-41.45,147.17,44.01,4.7
Upata,11,VE,1595007624,54,8.01,-62.4,87.89,4.5
Comodoro Rivadavia,90,AR,1595007251,93,-45.87,-67.5,46.4,9.17
Havøysund,100,NO,1595007816,82,71.0,24.66,66.2,2.24
Quelimane,74,MZ,1595007238,83,-17.88,36.89,66.07,8.3
Shubarkuduk,45,KZ,1595007816,20,49.14,56.49,86.36,11.16
Takoradze,83,GH,1595007816,83,4.88,-1.76,76.41,11.14
Tiassalé,39,CI,1595007816,66,5.9,-4.83,80.4,5.66
Esperance,90,AU,1595007817,100,-33.87,121.9,48.2,12.75
Cavalcante,0,BR,1595007817,30,-13.8,-47.46,81.52,7.96
San Francisco,20,US,1595007803,63,37.77,-122.42,66.2,3.36
Diego de Almagro,0,CL,1595007817,15,-26.37,-70.05,78.15,8.81
Mae Hong Son,100,TH,1595007817,85,19.3,97.97,75.25,1.61
Alausí,75,EC,1595007817,42,-2.2,-78.83,64.4,11.41
Touros,40,BR,1595007817,74,-5.2,-35.46,82.4,11.41
Nelson Bay,90,AU,1595007223,100,-32.72,152.15,53.01,10.29
Sabang,96,ID,1595007818,78,5.89,95.32,82.22,15.59
Cherskiy,90,RU,1595007818,81,68.75,161.3,43.5,11.41
Portland,75,US,1595007555,68,45.52,-122.68,68.0,9.17
Yellowknife,75,CA,1595007657,55,62.46,-114.35,68.0,9.17
Thompson,75,CA,1595007818,60,55.74,-97.86,68.0,3.36
Mar del Plata,63,AR,1595007589,66,-38.0,-57.56,55.4,9.17
Glens Falls,90,US,1595007818,73,43.31,-73.64,77.0,12.75
Blagoyevo,9,RU,1595007818,88,63.37,47.92,61.3,1.68
Narsaq,20,GL,1595007819,24,60.92,-46.05,68.0,5.82
Bubaque,100,GW,1595007233,88,11.28,-15.83,77.41,24.2
Aktau,0,KZ,1595007819,40,43.65,51.2,87.8,15.66
Khatanga,100,RU,1595007819,93,71.97,102.5,39.36,13.38
Te Anau,0,NZ,1595007819,94,-45.42,167.72,30.15,0.81
Kraluv Dvur,40,CZ,1595007819,63,49.95,14.03,64.0,5.82
Gemeente Heerenveen,41,NL,1595007819,1,52.95,5.93,70.0,1.01
Longyearbyen,20,SJ,1595007231,76,78.22,15.64,50.0,6.93
Seydi,0,TM,1595007820,16,39.48,62.91,90.16,14.09
Doha,0,QA,1595007777,56,25.29,51.53,98.6,3.36
Chuguyevka,0,RU,1595007820,90,44.17,133.86,62.8,1.99
Flin Flon,90,CA,1595007820,82,54.77,-101.86,62.6,3.36
Sernur,4,RU,1595007820,84,56.93,49.15,58.32,6.85
Gizo Government Station,21,SB,1595007820,80,-8.1,156.84,81.86,14.43
Itarema,45,BR,1595007820,54,-2.92,-39.92,85.55,14.03
Texarkana,20,US,1595007820,59,33.43,-94.05,89.6,11.41
Aksarka,99,RU,1595007821,66,66.56,67.8,56.86,13.56
Uíge,0,AO,1595007241,30,-7.61,15.06,73.45,2.62
Cartagena,40,CO,1595007821,79,10.4,-75.51,87.8,9.17
Clyde River,75,CA,1595007821,81,70.47,-68.59,42.8,18.34
Mokrousovo,73,RU,1595007821,67,55.81,66.77,71.76,5.12
Pokhara,94,NP,1595007821,83,28.23,83.98,73.67,1.3
Araguaína,28,BR,1595007821,28,-7.19,-48.21,93.76,8.28
Huilong,93,CN,1595007821,98,31.81,121.66,77.0,1.01
Tual,13,ID,1595007253,85,-5.67,132.75,78.76,17.0
Rāwah,0,IQ,1595007822,11,34.48,41.91,92.57,12.01
Bilibino,47,RU,1595007822,78,68.05,166.44,52.2,6.06
Province of Brindisi,20,IT,1595007822,65,40.58,17.67,78.01,10.29
San Quintín,13,MX,1595007822,65,30.48,-115.95,73.76,11.32
Porto Walter,9,BR,1595007822,40,-8.27,-72.74,93.47,2.62
Khasan,3,RU,1595007252,94,42.43,130.64,62.65,1.74
Karratha,2,AU,1595007822,84,-20.74,116.85,68.34,5.84
Whitehorse,75,CA,1595007822,58,60.72,-135.05,59.0,14.99
Kashan,33,IR,1595007822,22,33.98,51.44,90.0,7.31
La Tuque,100,CA,1595007630,92,47.43,-72.78,67.55,5.3
Mount Gambier,96,AU,1595007823,81,-37.83,140.77,46.4,10.29
Quatre Cocos,40,MU,1595007823,73,-20.21,57.76,71.6,12.75
Kaduqli,44,SD,1595007823,76,11.02,29.72,74.59,2.64
Kirakira,99,SB,1595007823,85,-10.45,161.92,78.13,7.02
Dabakala,46,CI,1595007823,83,8.37,-4.43,78.69,4.07
Ballina,75,AU,1595007823,67,-28.87,153.57,59.0,11.41
Adrar,1,MR,1595007238,15,20.5,-10.07,104.97,9.44
Ambon City,6,ID,1595007823,15,-3.7,128.18,78.01,9.84
Medvedka,4,RU,1595007824,93,61.16,46.39,59.79,4.54
Shubarshi,54,KZ,1595007824,18,48.59,57.19,87.39,9.4
Faanui,12,PF,1595007824,77,-16.48,-151.75,77.72,10.02
Marystown,14,CA,1595007824,64,47.17,-55.15,63.3,9.51
Cidreira,24,BR,1595007233,84,-30.18,-50.21,62.28,6.46
Rawson,90,AR,1595007824,76,-43.3,-65.1,51.8,13.87
Rosendal,100,NO,1595007824,94,59.99,6.01,57.0,3.0
Bud,40,US,1595007824,65,39.45,-86.18,82.99,3.36
Arrondissement de La Rochelle,4,FR,1595007824,68,46.25,-1.0,71.6,19.46
Zyryanka,55,RU,1595007231,83,65.75,150.85,44.83,6.89
Mariehamn,53,AX,1595007825,72,60.1,19.93,66.2,12.75
Codrington,100,AU,1595007825,71,-38.27,141.97,47.43,15.05
San Ramon,1,US,1595007562,60,37.78,-121.98,75.99,5.82
Formosa do Rio Preto,0,BR,1595007825,28,-11.05,-45.19,87.89,8.05
Torata,6,PE,1595007826,21,-17.08,-70.84,70.36,7.78
Kitimat,90,CA,1595007826,76,54.05,-128.65,62.01,1.99
Milton,37,US,1595007826,57,34.13,-84.3,91.99,3.0
Williams Lake,75,CA,1595007826,66,52.14,-122.14,55.4,6.93
Plettenberg Bay,0,ZA,1595007826,29,-34.05,23.37,64.15,4.92
Rodrigues Alves,75,BR,1595007826,70,-7.74,-72.65,89.6,5.82
Praia,40,CV,1595007826,54,14.92,-23.51,82.4,18.34
Kondinskoye,10,RU,1595007827,63,59.65,67.41,75.52,7.36
Bathsheba,40,BB,1595007827,62,13.22,-59.52,87.8,14.99
Três Lagoas,0,BR,1595007827,25,-20.75,-51.68,88.86,8.99
Demmin,20,DE,1595007827,52,53.91,13.03,70.0,8.05
Tashtyp,58,RU,1595007827,79,52.79,89.9,60.44,3.49
Nerang,0,AU,1595007827,76,-27.98,153.33,59.0,1.01
